time	V(n003)	V(n004)
7.858614161783462e-03	1.053803e+00	-7.760343e-03
7.898614161783502e-03	8.405701e-01	-5.948074e-03
7.938614161783542e-03	5.692145e-01	-3.762065e-03
7.978614161783582e-03	2.486706e-01	-1.339672e-03
8.018614161783622e-03	-1.062392e-01	1.166898e-03
8.058614161783662e-03	-4.740225e-01	3.600147e-03
8.098614161783702e-03	-8.272424e-01	5.807186e-03
8.138614161783742e-03	-1.135061e+00	7.649337e-03
8.178614161783782e-03	-1.367360e+00	9.010853e-03
8.218614161783822e-03	-1.499622e+00	9.806184e-03
8.253206896568055e-03	-1.522143e+00	9.997970e-03
8.270221712764370e-03	-1.501283e+00	9.919391e-03
8.297893231681952e-03	-1.422139e+00	9.550636e-03
8.337893231681992e-03	-1.219358e+00	8.513466e-03
8.377893231682032e-03	-9.332424e-01	6.941364e-03
8.417893231682072e-03	-5.924287e-01	4.933110e-03
8.457893231682112e-03	-2.274411e-01	2.614891e-03
8.497893231682152e-03	1.331808e-01	1.323683e-04
8.537893231682192e-03	4.661271e-01	-2.358471e-03
8.577893231682232e-03	7.545514e-01	-4.701119e-03
8.617893231682272e-03	9.877707e-01	-6.748379e-03
8.657893231682312e-03	1.159969e+00	-8.371613e-03
8.697893231682352e-03	1.268552e+00	-9.468828e-03
8.737893231682392e-03	1.312635e+00	-9.971081e-03
8.760492804453901e-03	1.308418e+00	-9.978275e-03
8.782080852982821e-03	1.285479e+00	-9.797535e-03
8.817101626490409e-03	1.208541e+00	-9.124305e-03
8.857101626490449e-03	1.060499e+00	-7.819930e-03
8.897101626490489e-03	8.495733e-01	-6.024200e-03
8.937101626490529e-03	5.802745e-01	-3.849948e-03
8.977101626490569e-03	2.613518e-01	-1.433789e-03
9.017101626490609e-03	-9.262014e-02	1.072460e-03
9.057101626490649e-03	-4.603949e-01	3.511323e-03
9.097101626490689e-03	-8.147277e-01	5.729556e-03
9.137101626490729e-03	-1.124838e+00	7.587780e-03
9.177101626490769e-03	-1.360496e+00	8.969236e-03
9.217101626490809e-03	-1.496880e+00	9.787122e-03
9.252625397058623e-03	-1.522679e+00	9.998639e-03
9.269274907869662e-03	-1.503261e+00	9.926754e-03
