time	V(n003)	V(n004)
1.908817249392736e-03	7.646895e-01	-5.420865e-03
1.948817249392776e-03	4.856089e-01	-3.160761e-03
1.988817249392816e-03	1.612728e-01	-7.020549e-04
2.028817249392856e-03	-1.922068e-01	1.800764e-03
2.068817249392896e-03	-5.521717e-01	4.190434e-03
2.108817249392936e-03	-8.905477e-01	6.316804e-03
2.148817249392976e-03	-1.176771e+00	8.046266e-03
2.188817249393016e-03	-1.382133e+00	9.270151e-03
2.228817249393056e-03	-1.484596e+00	9.911560e-03
2.257087504090372e-03	-1.488867e+00	9.990086e-03
2.276539242526576e-03	-1.458155e+00	9.861292e-03
2.308137170111690e-03	-1.351953e+00	9.340215e-03
2.348137170111730e-03	-1.129654e+00	8.158412e-03
2.388137170111770e-03	-8.323311e-01	6.463986e-03
2.428137170111810e-03	-4.889872e-01	4.363405e-03
2.468137170111850e-03	-1.296657e-01	1.988654e-03
2.508137170111890e-03	2.191737e-01	-5.110507e-04
2.548137170111930e-03	5.357884e-01	-2.978644e-03
2.588137170111970e-03	8.054697e-01	-5.259079e-03
2.628137170112010e-03	1.019154e+00	-7.209066e-03
2.668137170112050e-03	1.172146e+00	-8.706081e-03
2.708137170112090e-03	1.262494e+00	-9.656060e-03
2.748137170112130e-03	1.289596e+00	-9.999315e-03
2.764307593925985e-03	1.281980e+00	-9.959619e-03
2.788285216772102e-03	1.252461e+00	-9.712064e-03
2.827109201596900e-03	1.156785e+00	-8.849120e-03
2.867109201596940e-03	9.963182e-01	-7.412814e-03
2.907109201596980e-03	7.749780e-01	-5.510734e-03
2.947109201597020e-03	4.980639e-01	-3.262395e-03
2.987109201597060e-03	1.753478e-01	-8.090675e-04
3.027109201597100e-03	-1.773383e-01	1.695097e-03
3.067109201597140e-03	-5.376002e-01	4.092752e-03
3.107109201597180e-03	-8.775474e-01	6.233245e-03
3.147109201597220e-03	-1.166636e+00	7.982080e-03
3.187109201597260e-03	-1.375979e+00	9.229370e-03
3.227109201597300e-03	-1.483158e+00	9.896747e-03
3.256442378298696e-03	-1.490027e+00	9.991809e-03
3.275489138636956e-03	-1.461146e+00	9.872029e-03
3.306436061850770e-03	-1.359964e+00	9.377860e-03
3.346436061850810e-03	-1.141419e+00	8.219752e-03
3.386436061850850e-03	-8.466863e-01	6.545167e-03
3.426436061850890e-03	-5.046494e-01	4.459325e-03
3.466436061850930e-03	-1.454038e-01	2.093287e-03
3.506436061850970e-03	2.044166e-01	-4.042795e-04
3.546436061851010e-03	5.227748e-01	-2.876444e-03
3.586436061851050e-03	7.947025e-01	-5.167871e-03
3.626436061851090e-03	1.010911e+00	-7.134581e-03
3.666436061851130e-03	1.166556e+00	-8.653000e-03
3.706436061851170e-03	1.259596e+00	-9.627719e-03
3.746436061851210e-03	1.289398e+00	-9.997493e-03
3.763675163091840e-03	1.282123e+00	-9.963108e-03
3.787256952675455e-03	1.253855e+00	-9.727253e-03
3.825452970181220e-03	1.161724e+00	-8.897108e-03
3.865452970181260e-03	1.003831e+00	-7.482259e-03
3.905452970181300e-03	7.849171e-01	-5.597271e-03
3.945452970181340e-03	5.101258e-01	-3.360587e-03
3.985452970181380e-03	1.890108e-01	-9.127447e-04
4.025452970181420e-03	-1.628613e-01	1.592449e-03
4.065452970181460e-03	-5.233598e-01	3.997583e-03
4.105452970181500e-03	-8.647723e-01	6.151534e-03
4.145452970181540e-03	-1.156587e+00	7.918962e-03
4.185452970181580e-03	-1.369748e+00	9.188812e-03
4.225452970181620e-03	-1.481480e+00	9.881295e-03
4.255815248164097e-03	-1.491038e+00	9.993326e-03
4.274468263395725e-03	-1.463897e+00	9.882054e-03
4.304781636568444e-03	-1.367499e+00	9.413446e-03
4.344781636568484e-03	-1.152653e+00	8.278510e-03
4.384781636568524e-03	-8.604928e-01	6.623404e-03
4.424781636568564e-03	-5.197860e-01	4.552125e-03
4.464781636568604e-03	-1.606652e-01	2.194820e-03
4.504781636568644e-03	1.900662e-01	-3.003939e-04
4.544781636568684e-03	5.100913e-01	-2.776733e-03
4.584781636568724e-03	7.841831e-01	-5.078600e-03
4.624781636568764e-03	1.002838e+00	-7.061359e-03
4.664781636568804e-03	1.161056e+00	-8.600428e-03
4.704781636568844e-03	1.256714e+00	-9.599100e-03
4.744781636568884e-03	1.289139e+00	-9.994625e-03
4.763059843566619e-03	1.282294e+00	-9.966352e-03
4.786256379603726e-03	1.255217e+00	-9.741643e-03
4.823840411171787e-03	1.166479e+00	-8.942906e-03
4.863840411171827e-03	1.011094e+00	-7.549094e-03
4.903840411171867e-03	7.945545e-01	-5.680944e-03
4.943840411171907e-03	5.218472e-01	-3.455841e-03
4.983840411171947e-03	2.023215e-01	-1.013593e-03
5.023840411171987e-03	-1.487193e-01	1.492342e-03
